Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","052","Barbade","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","2","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","052","Barbade","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","13","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","463","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","21","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","152","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","112","Bélarus","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","265","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","463","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","312","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","656","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","056","Belgique","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","128","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","20","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","084","Belize","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","10","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","14","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","113","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","204","Bénin","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","124","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","507","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","068","Bolivie (État plurinational de)","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","507","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","61","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","10","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","8","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","070","Bosnie-Herzégovine","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","63","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","072","Botswana","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","7","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","14168","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","3","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","4223","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","076","Brésil","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","9902","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","107","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","108","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5911","Exportations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","45","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","100","Bulgarie","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","157","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","854","Burkina Faso","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","42","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","854","Burkina Faso","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","854","Burkina Faso","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","42","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","108","Burundi","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","6","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","108","Burundi","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","0","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","108","Burundi","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","5","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","132","Cabo Verde","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","1","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","132","Cabo Verde","5611","Importations - Quantité","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","12","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","132","Cabo Verde","5142","Nourriture","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","9","I","Valeur imputée"
"FBS","Bilans Alimentaires (2010-)","116","Cambodge","5511","Production","S2734","Viande de Volailles","2017","2017","Milliers de tonnes","27","I","Valeur imputée"
